NAME,RUN,MEMBER,PERC,GAP_SIZE,CORR,CORR_lin,CORR_akima,CORR_spline,CORR_quad,CORR_pchip,RMSE,RMSE_lin,RMSE_akima,RMSE_spline,RMSE_quad,RMSE_pchip,STDR
ms_pully,4,25,5,24,0.9904,0.9864,0.9812,0.9498,0.9472,0.986,1.7434,2.0759,2.4358,4.0774,4.1787,2.1034,1.0009
ms_pully,4,25,5,48,0.9885,0.9816,0.967,0.8393,0.8024,0.9817,1.9089,2.421,3.2967,8.1966,9.3953,2.4113,0.9996
ms_pully,4,25,5,72,0.9885,0.9814,0.9518,0.7939,0.7918,0.9829,1.9053,2.4257,3.9585,9.5992,9.596,2.3221,1.0001
ms_pully,4,25,5,96,0.9885,0.9798,0.9365,0.6763,0.6393,0.9778,1.9121,2.5363,4.6871,13.6572,15.3401,2.6646,1.0007
ms_pully,4,25,5,120,0.9872,0.9827,0.8903,0.6063,0.6012,0.983,2.0117,2.3347,6.288,15.7706,17.0244,2.3134,1.0
ms_pully,4,25,5,144,0.986,0.9787,0.8953,0.581,0.5023,0.977,2.1064,2.5957,6.1724,17.8273,20.7714,2.6942,1.0005
ms_pully,4,25,10,24,0.976,0.9732,0.9586,0.8696,0.8665,0.9717,2.7524,2.9017,3.6465,6.9833,7.1247,2.986,1.0003
ms_pully,4,25,10,48,0.9756,0.9646,0.9408,0.7534,0.7405,0.9646,2.7753,3.3346,4.3759,10.5166,11.0477,3.3365,1.0011
ms_pully,4,25,10,72,0.9743,0.9576,0.8692,0.5895,0.5743,0.9535,2.8471,3.6765,6.8575,15.7957,16.5248,3.8601,1.0009
ms_pully,4,25,10,96,0.9739,0.9583,0.8112,0.5674,0.5037,0.9542,2.8664,3.6194,8.8489,17.208,20.3679,3.798,0.9996
ms_pully,4,25,10,120,0.9673,0.9394,0.783,0.4968,0.487,0.9428,3.202,4.3584,9.3808,24.0801,24.662,4.2456,0.9999
ms_pully,4,25,10,144,0.9738,0.9504,0.8383,0.3441,0.302,0.9512,2.8714,3.9546,7.7195,35.1735,42.2293,3.921,1.001
ms_pully,4,25,15,24,0.9668,0.9567,0.9365,0.8418,0.8149,0.9542,3.2439,3.6957,4.5464,7.9288,8.7963,3.8068,1.0016
ms_pully,4,25,15,48,0.9624,0.9461,0.8562,0.6093,0.6013,0.9411,3.4416,4.1084,7.26,15.8706,15.7335,4.309,1.0006
ms_pully,4,25,15,72,0.9602,0.947,0.8015,0.4446,0.4378,0.9456,3.5362,4.0662,8.9495,24.9452,25.5662,4.1276,1.0026
ms_pully,4,25,15,96,0.961,0.9362,0.7164,0.4467,0.4207,0.9311,3.503,4.4847,12.1022,28.0974,27.9552,4.6699,1.0006
ms_pully,4,25,15,120,0.9561,0.92,0.5198,0.1914,0.1541,0.9128,3.7207,5.0148,18.2028,56.6159,66.1935,5.2448,1.0003
ms_pully,4,25,15,144,0.9568,0.9355,0.6243,0.316,0.2674,0.9282,3.6804,4.49,14.7295,38.8102,49.2127,4.7505,1.0019
ms_pully,5,25,5,24,0.9907,0.9862,0.9832,0.9304,0.9269,0.9855,1.7157,2.0964,2.3207,4.958,5.1158,2.1483,1.0005
ms_pully,5,25,5,48,0.9887,0.9778,0.907,0.7138,0.6936,0.9755,1.8883,2.6448,5.5856,11.4611,11.9644,2.7783,1.0002
ms_pully,5,25,5,72,0.9888,0.9836,0.9561,0.843,0.7795,0.9816,1.8889,2.2734,3.7671,7.6135,9.5198,2.4101,1.0008
ms_pully,5,25,5,96,0.9852,0.9677,0.7565,0.503,0.5011,0.9653,2.161,3.1915,10.3859,19.954,20.2132,3.3159,1.0003
ms_pully,5,25,5,120,0.986,0.9679,0.9357,0.5833,0.5666,0.9686,2.1026,3.1805,4.5865,19.2932,19.0553,3.1413,1.0
ms_pully,5,25,5,144,0.9865,0.9784,0.7756,0.5676,0.4825,0.978,2.0629,2.6116,9.9523,18.3239,22.1776,2.6382,1.0005
ms_pully,5,25,10,24,0.9778,0.972,0.9526,0.8958,0.8847,0.9711,2.6548,2.9727,3.9289,6.1081,6.5338,3.0257,1.0017
ms_pully,5,25,10,48,0.9753,0.9648,0.9131,0.7528,0.6894,0.9605,2.7963,3.3301,5.3659,10.4168,12.3282,3.5312,1.0011
ms_pully,5,25,10,72,0.9723,0.9563,0.9318,0.617,0.5559,0.9537,2.9577,3.7053,4.7574,14.768,16.8727,3.8188,1.0016
ms_pully,5,25,10,96,0.9733,0.9503,0.8684,0.6109,0.5494,0.9463,2.9064,3.9634,6.8391,15.764,18.3337,4.1227,1.0014
ms_pully,5,25,10,120,0.9673,0.9528,0.8176,0.4134,0.3763,0.9489,3.2045,3.8813,8.5094,24.523,28.3837,4.0363,1.0011
ms_pully,5,25,10,144,0.9712,0.9369,0.7049,0.2661,0.2696,0.9359,3.0129,4.5165,12.9673,52.4434,52.3556,4.5566,1.0023
ms_pully,5,25,15,24,0.9674,0.9579,0.9354,0.8528,0.8407,0.9558,3.2066,3.6315,4.5579,7.5211,7.8492,3.7245,1.002
ms_pully,5,25,15,48,0.9629,0.9465,0.8854,0.6442,0.6193,0.9427,3.4122,4.1054,6.1534,13.0492,14.3194,4.2574,1.0005
ms_pully,5,25,15,72,0.9587,0.9284,0.8328,0.5709,0.5352,0.9268,3.6016,4.725,7.7566,17.8779,19.6605,4.7901,1.0004
ms_pully,5,25,15,96,0.9578,0.9305,0.6385,0.34,0.3309,0.9225,3.6367,4.649,13.5587,27.616,30.1772,4.92,1.0012
ms_pully,5,25,15,120,0.9576,0.9027,0.718,0.4238,0.348,0.897,3.6485,5.509,11.0287,22.8299,27.7352,5.6818,1.0024
ms_pully,5,25,15,144,0.9546,0.9309,0.8014,0.3415,0.3234,0.923,3.7642,4.6399,9.0312,31.3467,36.3222,4.9355,0.9999
